492.000,463.000,539.000,463.000,539.000,417.000,492.000,417.000
492.760,401.532,492.768,447.512,539.792,447.503,539.784,401.523
492.520,387.465,492.535,433.424,539.583,433.406,539.567,387.447
493.529,378.147,493.553,424.086,540.625,424.059,540.601,378.120
495.539,371.162,495.571,417.081,542.666,417.045,542.635,371.127
495.049,365.678,495.088,411.576,542.208,411.532,542.168,365.634
496.559,366.194,496.606,412.071,543.749,412.018,543.702,366.140
497.903,367.039,497.958,412.896,545.126,412.834,545.071,366.977
500.248,372.684,500.311,418.521,547.502,418.450,547.439,372.613
499.343,382.829,499.414,428.646,546.629,428.566,546.558,382.749
501.104,394.974,501.183,440.770,548.422,440.682,548.343,394.885
503.866,406.119,503.953,451.895,551.215,451.798,551.129,406.022
504.627,428.265,504.722,474.020,552.008,473.914,551.914,428.158
505.008,422.124,505.111,467.859,552.421,467.744,552.319,422.009
506.389,392.784,506.500,438.499,553.834,438.374,553.724,392.660
506.521,369.944,506.639,415.638,553.997,415.505,553.879,369.810
506.652,350.103,506.777,395.777,554.159,395.635,554.034,349.961
509.783,332.763,509.916,378.417,557.322,378.266,557.189,332.612
506.914,323.423,507.055,369.056,554.485,368.896,554.343,323.263
506.213,311.387,506.363,357.000,553.816,356.831,553.667,311.218
505.713,306.151,505.870,351.744,553.348,351.566,553.190,305.974
506.463,299.916,506.628,345.488,554.129,345.301,553.964,299.729
507.212,297.680,507.385,343.232,554.911,343.036,554.737,297.485
507.962,302.444,508.143,347.976,555.692,347.772,555.511,302.240
508.711,307.208,508.900,352.720,556.473,352.507,556.285,306.996
507.757,315.781,507.954,361.272,555.551,361.050,555.354,315.559
508.002,324.754,508.207,370.224,555.828,369.993,555.623,324.523
509.248,337.726,509.460,383.176,557.105,382.937,556.893,337.487
510.160,354.699,510.380,400.129,558.049,399.880,557.829,354.451
509.572,377.672,509.800,423.081,557.493,422.824,557.265,377.414
508.984,400.644,509.220,446.033,556.937,445.767,556.701,400.378
512.449,426.974,512.693,472.342,560.433,472.067,560.189,426.699
513.713,433.503,513.965,478.851,561.729,478.567,561.477,433.219
516.227,409.783,516.487,455.110,564.275,454.818,564.015,409.490
518.742,383.395,519.009,428.703,566.821,428.401,566.554,383.094
521.256,369.008,521.532,414.295,569.367,413.985,569.092,368.698
523.771,354.621,524.054,399.887,571.914,399.568,571.630,354.301
526.926,344.401,527.217,389.648,575.101,389.319,574.810,344.073
530.082,334.182,530.381,379.408,578.288,379.070,577.989,333.844
529.487,329.712,529.794,374.918,577.725,374.571,577.419,329.366
532.893,325.576,533.208,370.761,581.163,370.406,580.848,325.221
536.298,328.939,536.621,374.104,584.600,373.740,584.277,328.576
539.704,332.303,540.035,377.448,588.037,377.075,587.707,331.931
541.972,340.938,542.311,386.062,590.338,385.681,589.999,340.557
544.241,349.574,544.587,394.677,592.638,394.287,592.292,349.183
546.509,358.209,546.864,403.292,594.938,402.893,594.584,357.810
551.111,378.177,551.473,423.240,599.572,422.832,599.210,377.769
555.213,397.146,555.583,442.189,603.705,441.772,603.335,396.729
551.315,376.115,551.693,421.137,599.839,420.711,599.461,375.689
544.190,349.333,544.576,394.335,592.746,393.900,592.360,348.898
533.066,321.952,533.460,366.933,581.653,366.489,581.260,321.508
526.942,303.820,527.343,348.781,575.561,348.329,575.159,303.368
520.817,285.689,521.226,330.630,569.468,330.168,569.059,285.227
514.693,271.557,515.110,316.478,563.375,316.007,562.958,271.087
508.569,257.426,508.993,302.326,557.283,301.847,556.858,256.947
501.377,248.965,501.810,293.844,550.124,293.356,549.691,248.476
494.186,242.903,494.627,287.762,542.964,287.265,542.524,242.406
484.995,238.342,485.444,283.180,533.805,282.675,533.356,237.836
480.471,240.780,480.927,285.599,529.312,285.084,528.856,240.266
472.947,244.719,473.411,289.517,521.820,288.993,521.355,244.195
465.422,248.657,465.894,293.435,514.327,292.903,513.855,248.125
457.337,261.150,457.817,305.908,506.274,305.367,505.794,260.609
449.452,273.844,449.940,318.581,498.421,318.030,497.933,273.293
444.817,291.287,445.313,336.003,493.817,335.444,493.322,290.728
437.516,314.063,438.019,358.759,486.547,358.191,486.044,313.495
430.214,336.840,430.725,381.515,479.277,380.939,478.766,336.263
422.912,359.616,423.432,404.271,472.008,403.686,471.488,359.030
